"Zone","Counties","Cities","URL","Sex","Cancer","PopTot","AAIR","LCI","UCI","White_PopTot","White_AAIR","White_LCI","White_UCI","Black_PopTot","Black_AAIR","Black_LCI","Black_UCI","Hispanic_PopTot","Hispanic_AAIR","Hispanic_LCI","Hispanic_UCI","Asian_PopTot","Asian_AAIR","Asian_LCI","Asian_UCI","QNSES","PopAll","PerRural","PerUninsured","PerForeignBorn","PerWhite","PerBlack","PerAsian","PerHispanic","PerAsian"
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Male","AllSite",150155,583.1,547.0,621.3,118920,577.4,539.3,618.1,"","","","",15440,347.1,217.8,541.2,"","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","AllSite",157350,499.1,467.3,532.8,126175,508.6,474.3,545.4,"","","","",15020,362.4,241.4,541.3,"","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Male","Prostate",150155,109.6,94.7,126.6,118920,103.2,88.0,120.9,"","","","",15440,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","Breast",157350,157.7,140.1,177.5,126175,166.6,147.0,188.7,"","","","",15020,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Male","Lung",150155,72.0,59.8,86.4,118920,70.6,58.0,85.9,"","","","",15440,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","Lung",157350,62.1,51.8,74.5,126175,64.8,53.7,78.4,"","","","",15020,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Male","CRC",150155,46.8,36.9,59.0,118920,45.8,35.3,59.1,"","","","",15440,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","CRC",157350,41.5,33.2,51.9,126175,41.7,32.8,53.0,"","","","",15020,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Male","Mela",150155,59.7,48.5,73.1,118920,63.1,50.8,78.2,"","","","",15440,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","Mela",157350,29.1,21.1,39.5,126175,31.5,22.4,43.6,"","","","",15020,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","Uterine",157350,27.3,20.4,36.5,126175,28.1,20.5,38.3,"","","","",15020,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Male","Lymph",150155,24.0,17.1,33.3,118920,22.1,15.1,31.9,"","","","",15440,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","Lymph",157350,15.1,10.0,22.6,126175,14.2,9.0,22.1,"","","","",15020,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Male","Urinary",150155,21.1,14.7,30.0,118920,20.2,13.7,29.6,"","","","",15440,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","Urinary",157350,7.8,4.5,13.4,126175,"","","","","","","",15020,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Male","Kidney",150155,26.3,19.1,35.9,118920,26.6,18.8,37.1,"","","","",15440,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","Kidney",157350,14.8,9.8,22.0,126175,13.6,8.6,21.5,"","","","",15020,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Male","Thyroid",150155,"","","",118920,"","","","","","","",15440,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","Thyroid",157350,19.9,13.6,28.7,126175,19.7,13.0,29.4,"","","","",15020,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Male","Liver",150155,19.8,13.7,28.2,118920,18.9,12.5,28.3,"","","","",15440,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","Liver",157350,"","","",126175,"","","","","","","",15020,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Male","Pancreas",150155,18.6,12.7,26.9,118920,20.0,13.5,29.3,"","","","",15440,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Female","Pancreas",157350,13.5,8.8,20.3,126175,14.5,9.4,22.4,"","","","",15020,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Both","AllSite",307505,533.1,509.4,557.8,245095,536.2,510.8,562.8,"","","","",30460,353.2,262.8,471.2,"","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Both","Lung",307505,65.7,57.8,74.6,245095,66.5,58.2,76.0,"","","","",30460,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Both","CRC",307505,44.1,37.6,51.7,245095,43.8,36.9,52.1,"","","","",30460,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Both","Mela",307505,42.5,35.8,50.4,245095,45.4,37.9,54.3,"","","","",30460,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Both","Lymph",307505,18.9,14.7,24.3,245095,17.5,13.2,23.2,"","","","",30460,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Both","Urinary",307505,13.7,10.2,18.4,245095,12.7,9.2,17.6,"","","","",30460,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Both","Kidney",307505,19.9,15.6,25.3,245095,19.4,14.9,25.3,"","","","",30460,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Both","Thyroid",307505,12.8,9.1,17.7,245095,11.8,8.0,17.1,"","","","",30460,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Both","Liver",307505,11.4,8.2,15.7,245095,10.5,7.2,15.2,"","","","",30460,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
"A0113","Shasta","Redding, Anderson","https://www.example.com?address=A0113","Both","Pancreas",307505,15.6,11.9,20.4,245095,16.8,12.7,22.2,"","","","",30460,"","","","","","","",2,61501,6.6,17.4,5.5,80.0,1.3,2.4,10.3,2.4
