"Zone","Counties","Cities","URL","Sex","Cancer","PopTot","AAIR","LCI","UCI","White_PopTot","White_AAIR","White_LCI","White_UCI","Black_PopTot","Black_AAIR","Black_LCI","Black_UCI","Hispanic_PopTot","Hispanic_AAIR","Hispanic_LCI","Hispanic_UCI","Asian_PopTot","Asian_AAIR","Asian_LCI","Asian_UCI","QNSES","PopAll","PerRural","PerUninsured","PerForeignBorn","PerWhite","PerBlack","PerAsian","PerHispanic","PerAsian"
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Male","AllSite",191510,432.9,406.6,460.8,135495,438.7,409.5,470.2,"","","","",29550,393.9,285.5,538.9,"","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Female","AllSite",176040,365.9,341.3,392.3,135485,343.8,317.8,372.4,"","","","",18990,368.4,263.8,508.1,"","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Male","Prostate",191510,96.8,84.8,110.3,135495,96.3,83.5,111.4,"","","","",29550,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Female","Breast",176040,99.1,86.7,113.4,135485,97.8,84.3,113.8,"","","","",18990,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Male","Lung",191510,60.6,50.9,71.8,135495,62.6,52.0,75.6,"","","","",29550,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Female","Lung",176040,48.2,40.3,58.0,135485,45.0,37.0,55.7,"","","","",18990,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Male","CRC",191510,35.4,28.2,44.2,135495,32.5,25.0,42.5,"","","","",29550,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Female","CRC",176040,30.9,24.1,39.8,135485,28.1,21.0,37.9,"","","","",18990,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Male","Mela",191510,24.1,18.2,31.7,135495,28.6,21.2,38.5,"","","","",29550,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Female","Mela",176040,17.3,11.8,25.2,135485,15.4,9.8,24.1,"","","","",18990,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
"B0347","Del Norte, Siskiyou","Happy Camp, Klamath, Gasquet, Mount Shasta, Bertsch-Oceanview, Smith River, Weed, Yreka, Fort Dick","https://www.example.com?address=B0347","Female","Uterine",176040,27.1,21.1,35.1,135485,24.0,17.8,32.9,"","","","",18990,"","","","","","","",2,73510,59.4,14.9,6.0,73.8,2.2,2.3,13.4,2.3
