Zone,Years,TotalPop,PctMinority,PctHispanic,PctBlackNH,PctRural,PctBelowPov,PctEducLHS,PctEducBch,PctNoHealthIns
Statewide,05yrs,4533372,39.67,4.25,31.82,26.81,19.93,16.34,22.62,14.17
Statewide,10yrs,4533372,39.67,4.25,31.82,26.81,19.25,17.39,21.84,14.19
Nationwide,05yrs,308745538,36.25,16.35,12.21,19.27,15.11,13.02,30.32,11.7
Nationwide,10yrs,308745538,36.25,16.35,12.21,19.27,15,13.82,29.26,13.29
A9001,05yrs,53134,17.15,3.33,10.43,2.7,9.39,7.17,45.47,8.37
A9001,10yrs,53134,17.15,3.33,10.43,2.7,10.34,7.37,44.64,8.37
A9002,05yrs,60820,52.19,23.99,22.76,0,15.92,15.94,22.23,19.84
A9002,10yrs,60820,52.19,23.99,22.76,0,15.16,16.63,21,19.9
A9003,05yrs,61773,62.06,6.52,49.85,1.67,25.89,23.36,10.21,16.19
A9003,10yrs,61773,62.06,6.52,49.85,1.67,25.45,26.33,8.37,16.2
A9004,05yrs,64602,54.58,1.92,48.87,9.86,24.63,15.87,20.68,14.84
A9004,10yrs,64602,54.58,1.92,48.87,9.86,23.94,17.47,20.34,14.99
A9005,05yrs,56687,96.21,3.41,82.89,2.37,30.59,18.8,18.19,16.72
A9005,10yrs,56687,96.21,3.41,82.89,2.37,29.34,19.21,16.75,16.72
A9006,05yrs,54925,39.38,4.51,32.9,17.71,14.61,14.14,21.82,12.77
A9006,10yrs,54925,39.38,4.51,32.9,17.71,15.05,15.03,20.23,12.79
A9007,05yrs,59150,43,5.77,33.41,0,21.87,9.84,56.09,11.04
A9007,10yrs,59150,43,5.77,33.41,0,22.32,10.74,54.07,10.96
A9008,05yrs,67011,21.98,3.25,15.47,68.13,15.82,14.82,18.96,12.49
A9008,10yrs,67011,21.98,3.25,15.47,68.13,15.33,16.38,17.56,12.51
A9009,05yrs,59786,37.11,3.26,31.4,12.96,24.08,15.87,25.49,14.23
A9009,10yrs,59786,37.11,3.26,31.4,12.96,22.84,17.36,24.68,14.22
A9010,05yrs,63250,33.99,3.59,26.13,0.25,16.57,9.75,38.43,13.23
A9010,10yrs,63250,33.99,3.59,26.13,0.25,15.75,9.48,37.49,13.44
A9011,05yrs,59683,19.07,5.13,10.68,32.05,14.14,14.81,21.37,14.26
A9011,10yrs,59683,19.07,5.13,10.68,32.05,13.73,14.81,21.88,14.3
A9013,05yrs,56934,30.1,7.16,18.35,23.33,13.46,11.16,23.59,11.01
A9013,10yrs,56934,30.1,7.16,18.35,23.33,12.49,11.24,21.51,11.17
A9014,05yrs,54098,20.01,4.95,11.25,12.93,11.01,10.78,32.71,11.06
A9014,10yrs,54098,20.01,4.95,11.25,12.93,10.65,12.98,30.77,11.31
A9015,05yrs,56023,64.83,4.61,56.62,0,19.97,10.78,39.41,10.51
A9015,10yrs,56023,64.83,4.61,56.62,0,19.24,10.86,37.14,10.47
A9016,05yrs,77994,21.79,1.77,17.49,30.96,15.15,8.46,32.04,12.69
A9016,10yrs,77994,21.79,1.77,17.49,30.96,13.55,9.27,31.38,12.67
A9017,05yrs,63020,56.95,1.72,53.34,30.69,27.18,18.7,14.74,15.84
A9017,10yrs,63020,56.95,1.72,53.34,30.69,26.23,18.97,14.81,15.77
A9018,05yrs,56163,15.39,4.63,7.54,13.88,7.66,7.63,43.15,9.1
A9018,10yrs,56163,15.39,4.63,7.54,13.88,7.29,8.55,40.6,9.08
A9019,05yrs,65788,59.04,12.71,38.14,0,18.72,17.35,20.29,15.97
A9019,10yrs,65788,59.04,12.71,38.14,0,17.9,17.16,20.96,15.81
A9020,05yrs,65980,75.66,2,71.31,0.39,28.23,16.53,14.91,16.74
A9020,10yrs,65980,75.66,2,71.31,0.39,26.4,16.59,14.05,16.8
A9021,05yrs,60074,29.61,14.38,9.77,0,13.08,9.62,33.57,14.51
A9021,10yrs,60074,29.61,14.38,9.77,0,12.17,11.06,32.5,14.65
A9022,05yrs,63664,60.55,1.13,57.73,31.52,19.88,11.78,24.12,9.92
A9022,10yrs,63664,60.55,1.13,57.73,31.52,19.62,14.82,21.21,10.08
A9023,05yrs,57615,71.88,6.37,62.74,0,31.31,17.28,32.2,20.04
A9023,10yrs,57615,71.88,6.37,62.74,0,32.78,19.1,28.41,20.1
A9024,05yrs,56013,64.87,6.48,54.51,0,31.64,16.75,39.95,14.71
A9024,10yrs,56013,64.87,6.48,54.51,0,30.66,17.68,37.7,14.82
A9025,05yrs,55764,36.81,4.43,28.93,8.29,21.64,16.81,22.2,16.74
A9025,10yrs,55764,36.81,4.43,28.93,8.29,20.49,17.41,20.51,16.85
A9026,05yrs,62102,44.66,3.14,37.6,0,17.37,10.37,43.61,11.37
A9026,10yrs,62102,44.66,3.14,37.6,0,16.82,11.3,43.28,11.41
A9027,05yrs,55059,29.03,2.6,16.17,35.13,19.79,23.78,15.77,16.21
A9027,10yrs,55059,29.03,2.6,16.17,35.13,18.48,24.87,15.3,16.15
A9028,05yrs,60832,24.96,11.74,8.17,0,11.3,8.32,40.49,13.94
