Zone,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI
Statewide,Both,AllSite,05yrs,23126262,120829,475.7,473,478.4,13930420,83386,479.7,476.4,483.1,7523094,33699,495.9,490.4,501.5
Nationwide,Both,AllSite,05yrs,1581534421,8136881,454.5,454.2,454.8,1003578378,6267314,470.2,469.8,470.6,204332467,869011,468.8,467.8,469.9
A9001,Both,AllSite,05yrs,279097,1510,505.9,480.2,532.7,229973,1383,519.5,491.9,548.3,32542,101,481.9,383.5,596.5
A9002,Both,AllSite,05yrs,305865,1563,456.7,433.6,480.7,143779,996,473.3,442.7,505.5,70310,283,504,440.9,573.2
A9003,Both,AllSite,05yrs,309981,1885,535.5,510.9,560.9,118975,891,526.1,490.8,563.6,151775,838,565.8,526.4,607.4
A9004,Both,AllSite,05yrs,324503,1792,475.4,453.2,498.3,149027,997,448.5,420,478.6,160079,764,537.3,498.5,578.2
A9005,Both,AllSite,05yrs,309704,1391,487.2,459.9,515.6,24606,149,548.8,461.4,650.8,247361,1137,497.8,466.4,530.7
A9006,Both,AllSite,05yrs,294638,1369,460.9,436.1,486.7,178009,949,466.7,436.8,498.1,98218,388,469.4,421,521.5
A9007,Both,AllSite,05yrs,323260,1426,419.5,397.2,442.7,177729,742,415.3,384.3,448.2,118633,613,431.2,396.7,468.1
A9008,Both,AllSite,05yrs,336621,1887,494.3,471.7,517.8,264274,1593,503.7,478.6,529.9,53735,268,526.8,462.8,596.9
A9009,Both,AllSite,05yrs,309048,1432,451,427.3,475.7,195325,1032,435.5,408.5,463.8,98494,384,533.1,477.1,593.5
A9010,Both,AllSite,05yrs,316394,1702,447,425.4,469.6,207391,1265,449.1,423.5,476,86956,394,456.1,411.3,504.4
A9011,Both,AllSite,05yrs,310119,1776,506.8,482.6,531.9,251341,1583,518.8,492.6,546.1,35220,147,522.5,432.8,624.3
A9013,Both,AllSite,05yrs,300620,1398,467.3,442.9,492.8,210982,1117,477.3,449.4,506.4,58714,223,448.4,387.4,516
A9014,Both,AllSite,05yrs,283144,1265,512.9,483.7,543.5,226151,1121,524.6,493,557.7,33938,89,444.6,347.4,558.3
A9015,Both,AllSite,05yrs,307158,1591,460.6,437.5,484.6,99120,625,553.8,508.6,602.1,185556,879,413.5,385.8,442.7
A9016,Both,AllSite,05yrs,395658,2012,456.3,436.3,477,303792,1809,474.5,452.5,497.4,77730,185,375.4,315.6,442.4
A9017,Both,AllSite,05yrs,314711,1804,491.2,468.2,515.1,138925,951,508.1,475.3,542.7,166179,843,493,459.1,528.7
A9018,Both,AllSite,05yrs,291492,1650,481.2,457.6,505.8,247071,1496,494,468.5,520.7,23593,112,480.6,391.9,583.2
A9019,Both,AllSite,05yrs,329689,1537,464.7,440.8,489.5,132461,861,478.3,445.9,512.7,128217,481,500.8,450.5,554.8
A9020,Both,AllSite,05yrs,329288,1637,484.4,460.7,509,73493,576,462.6,422.7,505.9,243898,1045,509.2,477,542.8
A9021,Both,AllSite,05yrs,303290,1868,466.6,445,489.1,207160,1604,485.9,461.1,512,35926,75,392.3,296.3,506.7
A9022,Both,AllSite,05yrs,321131,1653,501.9,477.5,527.3,127324,794,508.1,472.4,545.9,186212,851,510,475.3,546.4
A9023,Both,AllSite,05yrs,317386,1730,478.2,455.2,502.1,102472,518,422.1,384.4,463,189096,1144,525.9,494.7,558.6
A9024,Both,AllSite,05yrs,306827,1361,448.7,424.1,474.3,114148,508,417.5,379.5,458.7,163104,788,495.7,459.8,533.5
A9025,Both,AllSite,05yrs,291306,1308,484.2,457.7,511.8,182928,1012,503,471.7,535.9,88238,266,456.5,399.6,518.9
A9026,Both,AllSite,05yrs,314519,1669,451.8,429.6,474.8,172173,1091,445.6,418,474.7,121567,534,484.3,442.7,528.7
A9027,Both,AllSite,05yrs,276946,1418,504.8,477.9,532.7,198085,1138,521.9,491.1,554.1,46476,212,515.8,445.1,594.3
A9028,Both,AllSite,05yrs,307245,1955,455.6,434.8,477.1,225182,1754,484.2,460.4,509.1,30191,68,294.3,224.7,378.2
A9029,Both,AllSite,05yrs,313429,1417,471.1,446.2,496.9,280645,1336,477.1,451.2,504.1,17595,54,466.5,345.1,613.8
A9030,Both,AllSite,05yrs,317532,1649,474.8,451.7,498.7,161120,1200,481,452.7,510.9,123013,386,526.2,466.8,590.3
A9031,Both,AllSite,05yrs,279051,1149,489.7,459.5,521.2,226152,1021,508.9,475.8,543.7,32895,107,457.2,364.9,564.5
A9033,Both,AllSite,05yrs,356316,1703,473.6,450.5,497.6,318123,1596,481.2,457,506.4,23840,81,450.8,352.7,566.3
A9034,Both,AllSite,05yrs,313318,1751,469.2,446.9,492.4,182547,1164,458.9,431.9,487.3,117246,567,519.2,476,565.3
A9035,Both,AllSite,05yrs,318445,1723,481.6,458.7,505.4,159098,904,471.5,440.6,504,147172,803,520,483.7,558.3
A9036,Both,AllSite,05yrs,328808,1648,458.1,435.8,481.2,232711,1364,460,435.2,485.9,74448,231,471.8,405.8,544.6
A9037,Both,AllSite,05yrs,302294,1948,470.1,448.7,492.3,223980,1583,480.8,456.3,506.4,45682,239,452.5,395.4,515.8
A9038,Both,AllSite,05yrs,316397,1496,441.2,418.8,464.5,217421,1157,445.3,419.6,472.2,75005,287,450.3,397.6,507.7
A9039,Both,AllSite,05yrs,324432,1892,502.8,479.8,526.7,234029,1551,515.3,489.1,542.7,63086,277,529.4,465.7,599
A9040,Both,AllSite,05yrs,286766,1525,498.7,473.6,524.8,190264,1210,514.7,485.5,545.3,63049,269,523.4,459.2,593.6
A9041,Both,AllSite,05yrs,318297,1607,458.5,435.6,482.4,203504,1215,470.1,442.9,498.8,82991,324,479.5,424.3,539.5
A9042,Both,AllSite,05yrs,317095,1615,523,496.2,550.9,150861,958,523.3,489.1,559.3,113417,484,565.5,507.3,628.2
A9043,Both,AllSite,05yrs,305510,1519,481.9,457.4,507.4,141494,819,463.6,431.5,497.6,149182,689,528.3,487.8,571.2
A9044,Both,AllSite,05yrs,383187,1853,473.7,452,496.2,157683,1004,486.3,455.9,518.2,213518,826,468.8,436,503.4
A9045,Both,AllSite,05yrs,319353,1466,426.3,404.2,449.3,72444,458,393.8,356.4,434.7,221975,912,451.8,421.5,483.7
A9046,Both,AllSite,05yrs,312628,1454,480.2,454.9,506.5,31567,283,493.1,430.1,564.6,268319,1152,501.7,470.5,534.5
A9048,Both,AllSite,05yrs,322771,1060,465.6,437,495.4,142080,296,409.8,362.1,462,152043,742,507.8,470.6,547.1
A9049,Both,AllSite,05yrs,316574,1448,458.4,434,483.8,195249,1168,465.3,437.7,494.3,92417,229,518,439,605.9
B0002,Both,AllSite,05yrs,260582,1387,453.2,429.2,478.1,198503,1180,465.8,438.9,493.9,50210,185,416.1,355.9,483.3
B0004,Both,AllSite,05yrs,342496,2080,475.5,454.7,497,202189,1410,461.4,436.4,487.7,129062,644,524.6,483.5,568.1
B0010,Both,AllSite,05yrs,310725,1685,457.2,435,480.2,171342,1060,452.6,424.6,482.1,129394,600,481.1,442.6,522
B0011,Both,AllSite,05yrs,365714,1909,469.6,448.2,491.7,321035,1770,480.6,457.9,504.1,30089,118,424.3,348.3,511.7
B0013,Both,AllSite,05yrs,332283,1504,476.4,452,501.9,221394,1130,480.4,452.1,510.1,70047,271,553.7,485.1,628.6
B0016,Both,AllSite,05yrs,288845,1783,486.1,463.1,509.9,161534,1093,478.6,449.4,509.3,120627,676,507,468.1,548.3
B0019,Both,AllSite,05yrs,286279,1796,477.2,454.9,500.4,167396,1182,471.9,444.3,500.9,111424,599,505.8,465.6,548.5
B0024,Both,AllSite,05yrs,382487,2161,486.6,465.8,508,230036,1425,476.4,451.4,502.5,122434,642,520.9,479.6,564.8
B0026,Both,AllSite,05yrs,256062,1562,480,455.8,505.3,162919,1149,502.9,472.9,534.4,72653,400,525,473.1,581.1
B0030,Both,AllSite,05yrs,329054,1710,468.8,446.2,492.3,137686,875,472.1,440.2,506,174549,806,494.7,459.2,532.2
B0032,Both,AllSite,05yrs,289491,1751,544.3,518.5,571.1,151705,1000,524,491.3,558.4,128516,741,604.7,560.2,651.8
B0034,Both,AllSite,05yrs,479651,2553,483.1,464.2,502.6,359372,2049,483.7,462.6,505.6,105840,495,524.9,478.5,574.5
B0035,Both,AllSite,05yrs,372473,1940,476,454.4,498.4,234477,1404,489.3,463.1,516.7,121175,512,472.1,430.6,516.4
B0038,Both,AllSite,05yrs,295551,1647,501.6,477.3,526.9,234789,1434,512.1,485.5,539.8,44080,187,539.3,461.9,625.5
B0043,Both,AllSite,05yrs,369689,1965,490,468.1,512.6,223342,1374,490.9,464.7,518.3,120098,558,551.4,504.7,601
B0044,Both,AllSite,05yrs,360425,2073,478.9,458.1,500.4,230083,1491,477.5,452.9,503.3,120210,566,508.9,466.7,553.7
B0047,Both,AllSite,05yrs,340416,1853,449.8,429.1,471.3,203037,1289,456.7,431.3,483.4,129218,557,459.1,420.7,500
B0049,Both,AllSite,05yrs,317291,1363,418.4,396,441.8,182198,911,410.3,383.3,438.8,122017,439,449,407.1,494
B0051,Both,AllSite,05yrs,466728,2485,471.3,452.7,490.5,362772,2040,470.7,450.2,492,82981,393,514.5,463.7,569.2
