Zone,City
A0113,Redding
A0113,Anderson
A0629,Redding
A0629,Shasta Lake
A0837,Benbow
A0837,Hydesville
A0837,Arcata
A0837,Pine Hills
A0837,Fortuna
A0837,Shelter Cove
A0837,Humboldt Hill
A0837,Eureka
B0464,Gold Mountain
B0464,Greenville
B0464,Fort Bidwell
B0464,Janesville
B0464,Greenhorn
B0464,Patton Village
B0464,Litchfield
B0464,Tobin
B0464,Warner Valley
B0464,Downieville
B0464,La Porte
B0464,Twain
B0464,Lookout
B0464,Milford
B0464,East Quincy
B0464,Bucks Lake
B0464,Johnsville
B0464,Meadow Valley
B0464,Mohawk Vista
B0464,Verdi
B0464,Lake Davis
B0464,Sierraville
B0464,Quincy
B0464,Chester
B0464,Cromberg
B0464,Beckwourth
B0464,Chilcoot-Vinton
B0464,Westwood
B0464,Adin
B0464,California Pines
B0464,Iron Horse
B0464,Crescent Mills
B0464,Little Grass Valley
B0464,Mabie
B0464,Doyle
B0464,Susanville
B0464,Portola
B0464,Graeagle
B0464,Spaulding
B0464,Johnstonville
B0464,Pike
B0464,Cedarville
B0464,Plumas Eureka
B0464,Taylorsville
B0464,Lake City
A1112,Fieldbrook
A1112,Westhaven-Moonstone
A1112,Arcata
A1112,McKinleyville
A1112,Willow Creek
A1112,Hoopa
A1112,Orick
A1112,Eureka
B0031,Mineral
B0031,Red Bluff
B0031,Lake California
B0031,Manton
B0031,Flournoy
B0031,Paynes Creek
B0031,Bend
B0031,Rancho Tehama Reserve
B0031,Corning
B0347,Happy Camp
B0347,Klamath
B0347,Gasquet
B0347,Mount Shasta
B0347,Bertsch-Oceanview
B0347,Smith River
B0347,Weed
B0347,Yreka
B0347,Fort Dick
B0392,Redding
B0392,Junction City
B0392,Mad River
B0392,Lakehead
B0392,Burney
B0392,Hayfork
B0392,Lewiston
B0392,Shasta
B0392,Douglas City
B0392,Palo Cedro
B0392,Bella Vista
B0392,Burnt Ranch
B0392,Hat Creek
B0392,Trinity Village
B0392,Coffee Creek
B0392,Shingletown
B0392,Ruth
B0392,Weaverville
B0392,Montgomery Creek
B0392,Trinity Center
B0392,French Gulch
B0392,Millville
B0392,Keswick
B0392,Hyampom
B0392,Big Bend
